id,name,name_short,name_export,code,code
304,新湊信金,ｼﾝﾐﾅﾄｼﾝｷﾝ,新湊信金,1404,1404
305,にいかわ信金,ﾆｲｶﾜｼﾝｷﾝ,にいかわ信金,1405,1405
306,氷見伏木信金,ﾋﾐﾌｼｷｼﾝｷﾝ,氷見伏木信金,1406,1406
307,砺波信金,ﾄﾅﾐｼﾝｷﾝ,砺波信金,1412,1412
308,石動信金,ｲｽﾙｷﾞｼﾝｷﾝ,石動信金,1413,1413
309,金沢信金,ｶﾅｻﾞﾜｼﾝｷﾝ,金沢信金,1440,1440
310,のと共栄信金,ﾉﾄｷﾖｳｴｲｼﾝｷﾝ,のと共栄信金,1442,1442
311,北陸信金,ﾎｸﾘｸｼﾝｷﾝ,北陸信金,1444,1444
312,鶴来信金,ﾂﾙｷﾞｼﾝｷﾝ,鶴来信金,1445,1445
313,興能信金,ｺｳﾉｳｼﾝｷﾝ,興能信金,1448,1448
314,福井信金,ﾌｸｲｼﾝｷﾝ,福井信金,1470,1470
315,敦賀信金,ﾂﾙｶﾞｼﾝｷﾝ,敦賀信金,1471,1471
316,武生信金,ﾀｹﾌｼﾝｷﾝ,武生信金,1472,1472
317,小浜信金,ｵﾊﾞﾏｼﾝｷﾝ,小浜信金,1473,1473
318,越前信金,ｴﾁｾﾞﾝｼﾝｷﾝ,越前信金,1475,1475
319,静岡信金,ｼｽﾞｵｶｼﾝｷﾝ,静岡信金,1501,1501
320,静清信金,ｾｲｼﾝｼﾝｷﾝ,静清信金,1502,1502
321,浜松信金,ﾊﾏﾏﾂｼﾝｷﾝ,浜松信金,1503,1503
322,沼津信金,ﾇﾏﾂﾞｼﾝｷﾝ,沼津信金,1505,1505
323,三島信金,ﾐｼﾏｼﾝｷﾝ,三島信金,1506,1506
